i,x,y,department,seniority,role,data_issue,issue_category
EMP_0150,1051,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0151,21,12,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0152,813,7,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0153,1262,26,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0154,1118,47,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0155,52,432,Analytics,Junior,Data_Scientist,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0156,207,154,IT,Junior,Developer,EXTREME: High commits for junior (real: internal transfer from other division),Extreme Value
EMP_0157,4757,10,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0158,889,0,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0159,2069,5,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0160,579,24,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0161,1783,3,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0162,1749,6,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0163,895,62,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0164,866,4,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0165,30,32,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0166,1661,0,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0167,91,0,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0168,1040,11,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0169,1280,34,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0170,739,81,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0171,2876,32,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0172,1296,21,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0173,1246,114,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0174,1252,44,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0175,1814,64,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0176,3948,9,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0177,260,0,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0178,1076,9,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0179,3290,35,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0180,1275,8,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0181,247,8,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0182,305,7,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0183,28,0,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0184,2195,7,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0185,33,21,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0186,4977,14,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0187,504,6,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0188,766,12,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0189,230,7,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0190,598,14,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0191,438,2,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0192,1785,22,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0193,1084,71,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0194,67,5,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0195,1601,15,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0196,1489,106,IT,Mid,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)",Extreme Value
EMP_0197,3572,11,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0198,433,46,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0199,1153,35,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0200,5078,5,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0201,1711,27,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0202,3185,11,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0203,4273,96,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0204,997,101,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0205,3211,5,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0206,575,4,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0207,3214,32,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0208,595,32,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0209,1617,32,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0210,933,26,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0211,1888,0,Analytics,Senior,Data_Engineer,CLEAN: No issues,Clean
EMP_0212,909,10,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0213,1629,12,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0214,235,3,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0215,1593,38,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0216,3237,14,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0217,5094,27,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0218,980,6,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0219,1173,33,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0220,4067,6,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0221,417,56,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0222,935,14,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0223,345,22,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0224,988,41,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0225,976,39,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0226,972,22,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0227,471,13,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0228,1224,42,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0229,1773,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0230,799,3,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0231,1332,15,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0232,1055,287,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0233,643,56,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0234,1637,14,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0235,1357,54,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0236,3857,15,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0237,5184,13,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0238,1328,43,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0239,445,23,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0240,300,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0241,780,28,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0242,1016,100,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0243,815,91,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0244,1265,23,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0245,1289,27,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0246,3611,26,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0247,15,18,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0248,1225,39,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0249,557,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0250,911,102,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0251,601,23,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0252,289,8,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0253,189,11,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0254,257,12,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0255,4960,10,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0256,1930,3,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0257,1500,79,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0258,378,6,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0259,1201,25,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0260,3067,23,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0261,221,19,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0262,4304,15,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0263,939,153,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0264,1821,43,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0265,546,22,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0266,1630,54,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0267,236,269,Analytics,Junior,Data_Scientist,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0268,1452,19,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0269,313,32,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0270,344,7,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0271,1383,23,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0272,923,78,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0273,1527,8,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0274,641,2,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0275,1539,13,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0276,1751,33,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0277,2421,32,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0278,702,409,Analytics,Junior,Data_Engineer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0279,4165,1,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0280,910,8,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0281,19500,5,IT,Senior,Infrastructure,ERROR: Impossibly long tenure (date entry error),Data Error
EMP_0282,3613,0,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0283,1139,31,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0284,664,14,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0285,3629,15,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0286,1819,36,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0287,1032,32,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0288,32,13,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0289,316,47,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0290,442,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0291,37,15,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0292,3491,3,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0293,3798,3,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0294,1000,42,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0295,4082,28,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0296,208,7,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0297,1107,46,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0298,848,7,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0299,1138,12,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0300,1452,416,Analytics,Mid,Analyst,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0301,2748,8,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0302,1347,29,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0303,4310,21,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0304,1668,13,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0305,1709,0,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0306,4018,12,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0307,4003,264,Analytics,Senior,Analyst,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0308,1116,149,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0309,524,438,Analytics,Junior,Analyst,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0310,1248,74,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0311,2298,7,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0312,4374,26,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0313,289,7,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0314,536,9,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0315,4724,355,IT,Senior,Infrastructure,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0316,1699,92,IT,Mid,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)",Extreme Value
EMP_0317,1851,67,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0318,932,52,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0319,1717,75,IT,Mid,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)",Extreme Value
EMP_0320,190,37,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0321,1669,29,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0322,1370,50,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0323,1675,31,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0324,155,5,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0325,1191,34,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0326,388,18,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0327,1115,140,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0328,28,5,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0329,159,7,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0330,679,5,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0331,803,21,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0332,148,1,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0333,133,-8,Analytics,Junior,Analyst,ERROR: Negative commits (data pipeline bug),Data Error
EMP_0334,4343,3,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0335,1466,54,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0336,2510,35,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0337,608,10,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0338,1108,42,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0339,117,39,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0340,1142,29,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0341,463,10,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0342,779,25,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0343,833,1,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0344,3828,36,IT,Senior,Developer,CLEAN: No issues,Clean
